gender,SeniorCitizen,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,21,yes,Fiber optic,Month-to-month,no,Credit card,29.73,600.01,yes
Male,0,55,yes,Fiber optic,Two year,yes,Bank transfer,46.32,2515.48,no
Female,1,46,yes,Fiber optic,Month-to-month,no,Mailed check,87.06,4153.97,yes
Female,1,63,yes,Fiber optic,Month-to-month,yes,Mailed check,56.97,3641.3,yes
Female,0,8,yes,DSL,month to month,no,Electronic check,39.69,309.79,yes
Male,0,51,yes,Fiber optic,Month-to-month,yes,Mailed check,67.12,3591.46,yes
Male,0,5,yes,DSL,Month-to-month,yes,Mailed check,57.59,291.98,yes
Male,0,61,yes,DSL,One year,yes,Mailed check,105.22,6547.31,no
Female,0,41,yes,DSL,Month-to-month,yes,Electronic check,41.74,1760.03,no
Female,0,19,yes,No,One year,yes,Electronic check,57.72,1149.78,no
Male,0,13,yes,Fiber optic,Month-to-month,no,Mailed check,66.97,878.77,yes
Female,0,30,yes,DSL,Two year,yes,Electronic check,23.2,668.6,no
Female,0,7,yes,No,month to month,yes,Mailed check,31.57,227.07,yes
Female,0,41,yes,Fiber optic,Month-to-month,yes,Mailed check,76.47,2338.650806,yes
Male,1,18,no,DSL,Month-to-month,no,Electronic check,97.42,1763.21,yes
Female,1,43,yes,fiberoptic,One year,no,Electronic check,24.72,1027.74,no
Female,1,10,yes,Fiber optic,Month-to-month,no,Electronic check,45.39,451.97,yes
Male,0,8,yes,No,Two year,yes,Electronic check,43.27,331.4,no
Female,0,38,yes,Fiber optic,Two year,no,Mailed check,91.43,3438.64,no
Male,0,57,yes,No,Month-to-month,yes,Credit card,32.31,1764.75,yes
Male,0,60,yes,DSL,monthly,yes,Bank transfer,85.81,2338.650806,yes
Male,0,55,yes,DSL,Two year,yes,Bank transfer,20.26,1156.29,no
Male,0,39,yes,No,Month-to-month,yes,Credit card,106.03,4177.57,no
Male,0,19,no,DSL,Two year,yes,Bank transfer,42.25,779.98,no
Female,0,27,yes,No,1 year,no,Credit card,92.97,2445.32,no
Male,0,3,yes,Fiber optic,1 year,yes,Bank transfer,43.72,128.22,no
Female,0,17,yes,Fiber optic,One year,yes,Bank transfer,33.22,562.84,no
Male,1,34,yes,DSL,Month-to-month,no,Electronic check,100.29,3439.15,no
Male,0,47,yes,DSL,Month-to-month,yes,Credit card,88.76,3964.26,no
Male,0,51,yes,Fiber optic,month to month,yes,Credit card,85.06,4475.06,no
Female,0,64,yes,DSL,Month-to-month,yes,Mailed check,90.5,5519.97,yes
Female,0,37,yes,Fiber optic,Two year,no,Credit card,33.93,1211.79,no
Male,1,49,yes,DSL,Month-to-month,yes,Mailed check,34.68,1681.06,yes
Male,1,41,yes,No,2 year,no,Mailed check,82.84,3410.42,yes
Male,0,2,yes,DSL,Month-to-month,no,Bank transfer,91.08,191.03,no
Male,0,41,yes,Fiber optic,Two year,no,Bank transfer,74.72,3013.27,no
Female,1,4,yes,DSL,Two year,no,Electronic check,45.26,184.43,no
Male,1,62,yes,Fiber optic,One year,yes,Electronic check,48.19,2867.83,no
Male,0,61,yes,Fiber optic,Two year,no,Credit card,29.7,2338.650806,no
Male,0,9,no,Fiber optic,Two year,yes,Mailed check,25.97,223.55,no
Male,0,56,no,No,Month-to-month,yes,Mailed check,57.39,2338.650806,no
Female,0,51,yes,No,Month-to-month,no,Electronic check,68.43,2338.650806,yes
Male,1,57,yes,No,Month-to-month,no,Bank transfer,87.34,5134.85,yes
Female,0,63,yes,fibre optic,Two year,yes,Bank transfer,89.89,5588.37,no
Female,1,41,yes,No,Month-to-month,no,Mailed check,23.03,957.89,yes
Male,0,63,yes,Fiber optic,month to month,yes,Electronic check,99.57,6560.55,no
Female,0,16,yes,DSL,One year,yes,Electronic check,94.96,1507.47,yes
Female,0,70,yes,Fiber optic,Month-to-month,yes,Credit card,76.76,5549.35,yes
Male,0,28,yes,DSL,Month-to-month,yes,Mailed check,107.97,3125.56,no
Male,0,8,yes,Fiber optic,Month-to-month,no,Electronic check,44.12,360.48,yes
Male,0,48,yes,Fiber optic,Two year,no,Mailed check,83.27,4194.59,no
Female,1,33,yes,DSL,Month-to-month,no,Electronic check,93.39,3136.56,no
Female,0,10,yes,DSL,One year,yes,Mailed check,41.97,413.02,no
Female,0,2,yes,DSL,Month-to-month,no,Electronic check,52.93,2338.650806,no
Female,1,43,yes,DSL,One year,yes,Bank transfer,74.56,3049,no
Female,0,65,yes,DSL,One year,no,Credit card,31.24,2108.62,no
Female,1,18,yes,DSL,One year,yes,Electronic check,49.11,902.72,no
Male,0,53,yes,DSL,Month-to-month,yes,Credit card,69.13,3718.68,yes
Female,0,52,yes,DSL,One year,yes,Mailed check,63.45,3257.67,no
Female,0,28,no,No,month to month,no,Electronic check,48.31,1399.11,yes
Female,0,71,yes,DSL,Month-to-month,no,Bank transfer,30.87,2218.5,yes
Male,0,46,yes,Fiber optic,Month-to-month,yes,Bank transfer,68.43,3074.46,yes
Female,0,40,no,No,One year,no,Electronic check,52.53,2152.86,yes
Female,0,17,yes,No,One year,yes,Electronic check,76.74,1319.73,no
Male,0,22,yes,Fiber optic,Month-to-month,yes,Credit card,59.96,1368.16,yes
Male,0,60,yes,DSL,Month-to-month,yes,Bank transfer,90.83,5275.1,no
Male,0,26,yes,DSL,Month-to-month,yes,Bank transfer,84.47,2131.49,no
Female,0,6,yes,Fiber optic,Month-to-month,yes,Electronic check,34.2,197.73,no
Female,0,58,yes,No,Month-to-month,no,Electronic check,77.92,4625.56,no
Female,0,49,yes,Fiber optic,1 year,yes,Bank transfer,25.81,2338.650806,no
Female,1,17,yes,Fiber optic,Two year,yes,Electronic check,38.86,648.36,no
Male,1,71,yes,No,Month-to-month,no,Electronic check,85.92,5812.29,yes
Female,1,69,yes,DSL,Two year,yes,Credit card,32.33,2221.55,yes
Female,0,12,yes,No,One year,no,Electronic check,85.49,991.47,no
Female,0,40,yes,DSL,Two year,no,Credit card,47.95,1974.76,no
Female,0,14,yes,DSL,One year,no,Mailed check,44.77,606.39,no
Female,0,28,yes,Fiber optic,One year,no,Electronic check,102.34,2770.45,no
Female,0,15,yes,No,Month-to-month,yes,Credit card,92.58,1436.2,no
Male,0,17,yes,DSL,Month-to-month,no,Electronic check,46.91,820.38,yes
Female,0,53,yes,No,Month-to-month,no,Electronic check,30.21,1604.28,yes
Female,0,60,yes,DSL,Two year,no,Bank transfer,22.2,1279.97,no
Female,0,63,yes,DSL,2 year,yes,Electronic check,96.53,6265.33,yes
Male,0,64,yes,No,Month-to-month,yes,Electronic check,106.82,7016.28,yes
Male,0,16,yes,No,month to month,no,Credit card,27.11,2338.650806,no
Female,0,48,yes,Fiber optic,Month-to-month,yes,Credit card,29.5,1435.94,no
Female,0,48,yes,No,Month-to-month,yes,Electronic check,91.45,4280.12,yes
Female,0,65,yes,Fiber optic,One year,yes,Electronic check,91.16,6020.1,yes
Male,0,41,yes,Fiber optic,Two year,yes,Electronic check,76.57,3248.43,no
Female,0,47,yes,fibre optic,Month-to-month,yes,Electronic check,20.53,936.63,no
Male,0,21,yes,DSL,One year,no,Mailed check,36.49,800.13,no
Female,1,38,yes,DSL,Two year,yes,Electronic check,64.07,2513.11,no
Female,0,67,yes,DSL,Month-to-month,yes,Mailed check,25.48,1669.43,no
Male,0,55,yes,No,Two year,no,Credit card,65.03,3731.89,no
Male,0,40,yes,DSL,One year,yes,Credit card,94.38,3916.82,no
Male,0,22,yes,Fiber optic,Month-to-month,yes,Electronic check,88.2,2004.13,no
Female,0,38,yes,DSL,month to month,no,Bank transfer,102.24,3701.2,yes
Female,0,1,yes,DSL,Month-to-month,no,Mailed check,57.42,59.45,no
Female,0,26,yes,Fiber optic,Month-to-month,no,Bank transfer,25.66,663.37,yes
Male,0,23,yes,No,One year,yes,Electronic check,33.84,778.03,no
Male,0,45,no,No,Month-to-month,no,Mailed check,92.27,2338.650806,yes
Male,1,32,no,Fiber optic,Month-to-month,yes,Mailed check,65.92,2070.11,yes
Female,0,33,yes,DSL,Month-to-month,no,Bank transfer,108.65,3607.91,no
Female,0,1,yes,DSL,One year,yes,Electronic check,30.47,29.02,no
Female,0,39,yes,Fiber optic,Month-to-month,yes,Bank transfer,49.53,1837.95,yes
Male,0,34,yes,fibre optic,Two year,no,Bank transfer,56.7,1892.71,no
Male,0,28,yes,No,One year,no,Bank transfer,48.26,1351.51,no
Female,0,31,yes,DSL,monthly,yes,Credit card,54.08,1625.04,yes
Female,1,61,yes,Fiber optic,Month-to-month,no,Bank transfer,92.52,5637.98,yes
Female,0,13,yes,fiberoptic,Month-to-month,yes,Mailed check,71.93,909.44,yes
Male,0,27,yes,DSL,Two year,yes,Credit card,25.68,694.95,no
Female,1,28,yes,DSL,Two year,yes,Credit card,40.77,1139.39,no
Male,1,9,yes,Fiber optic,Month-to-month,yes,Bank transfer,44.42,400.48,yes
Female,0,17,yes,Fiber optic,monthly,no,Credit card,26.46,447.85,no
Female,1,55,yes,DSL,Two year,no,Mailed check,94.3,5132.29,no
Male,0,47,yes,Fiber optic,Month-to-month,no,Electronic check,88.31,4063.61,yes
Male,0,21,yes,Fiber optic,Month-to-month,yes,Credit card,56.83,1242.47,yes
Male,0,20,yes,DSL,Month-to-month,yes,Electronic check,50.13,983.63,yes
Male,0,63,yes,No,Two year,yes,Credit card,38.98,2351.21,no
Female,0,26,yes,Fiber optic,Month-to-month,no,Bank transfer,86.56,2338.650806,yes
Female,0,35,no,Fiber optic,Month-to-month,yes,Credit card,21.83,727.86,no
Female,0,13,yes,DSL,month to month,no,Electronic check,103.43,1409.19,no
Male,0,19,yes,Fiber optic,1 year,yes,Electronic check,22.08,435,no
Female,1,37,yes,Fiber optic,Month-to-month,yes,Mailed check,52.06,1967.47,no
Male,0,10,yes,Fiber optic,2 year,yes,Bank transfer,67.3,700.19,no
Female,0,14,yes,DSL,Two year,yes,Bank transfer,81.63,1116.03,no
Male,0,42,yes,Fiber optic,Month-to-month,no,Bank transfer,72.84,2338.650806,no
Male,0,54,yes,fibre optic,Two year,yes,Bank transfer,77.6,4279.56,no
Female,0,38,yes,Fiber optic,Two year,yes,Electronic check,38.42,1420.09,no
Female,0,8,yes,Fiber optic,Month-to-month,yes,Bank transfer,51.32,411.1,no
Female,0,62,yes,DSL,Month-to-month,yes,Electronic check,23.33,1400.93,yes
Female,0,9,yes,No,Month-to-month,yes,Electronic check,69.81,628.78,no
Male,0,24,yes,Fiber optic,Month-to-month,no,Credit card,106.5,2452.89,no
Female,1,28,yes,DSL,Month-to-month,yes,Electronic check,88.46,2519.07,no
Female,0,70,yes,Fiber optic,Two year,yes,Electronic check,33.06,2385.97,no
Female,1,3,yes,DSL,Month-to-month,yes,Bank transfer,80.66,2338.650806,yes
Male,0,66,no,Fiber optic,Month-to-month,no,Electronic check,71.03,2338.650806,yes
Female,0,42,yes,Fiber optic,1 year,yes,Bank transfer,81.18,3245.74,no
Male,0,63,yes,DSL,Month-to-month,no,Electronic check,72.78,4443.93,no
Female,0,8,yes,DSL,Two year,no,Electronic check,87.13,720.33,no
Male,1,33,yes,No,One year,yes,Electronic check,107.97,3423.09,no
Female,0,20,yes,fiberoptic,Month-to-month,no,Mailed check,104.4,2029.32,no
Female,0,67,yes,Fiber optic,Month-to-month,no,Credit card,107.11,7398.14,yes
Female,0,38,yes,Fiber optic,Month-to-month,yes,Electronic check,29.98,1181.99,no
Female,0,8,yes,DSL,Two year,yes,Electronic check,35.14,279.75,no
Male,0,31,yes,Fiber optic,One year,yes,Mailed check,79.34,2398.61,no
Male,0,32,yes,Fiber optic,Month-to-month,yes,Electronic check,25.33,798.88,no
Female,0,20,yes,No,Month-to-month,yes,Mailed check,90.5,1740.92,no
Male,0,67,yes,Fiber optic,Month-to-month,no,Electronic check,83.07,5576.06,yes
Male,0,42,no,Fiber optic,month to month,no,Electronic check,67.03,2786.08,yes
Male,0,29,yes,fibre optic,Two year,no,Electronic check,86.31,2434.07,no
Female,0,35,yes,No,Month-to-month,yes,Electronic check,29.55,1015.44,no
Female,1,13,yes,No,Month-to-month,yes,Credit card,99.15,1287.69,yes
Male,0,71,yes,Fiber optic,Month-to-month,no,Bank transfer,100.88,7313.2,no
Female,0,37,yes,Fiber optic,One year,yes,Bank transfer,27.78,1055.09,no
Female,0,69,yes,No,Month-to-month,yes,Mailed check,60.88,4158.85,yes
Male,0,8,yes,No,One year,yes,Electronic check,89.12,713.77,no
Female,0,13,yes,Fiber optic,Month-to-month,no,Mailed check,103.59,1364.79,yes
Female,0,28,yes,DSL,monthly,no,Credit card,108.06,2338.650806,no
Male,0,69,yes,No,Two year,no,Bank transfer,38.92,2619.63,no
Female,0,44,yes,DSL,Month-to-month,yes,Mailed check,75.39,3403.31,no
Male,0,58,yes,No,Two year,yes,Electronic check,49.64,2338.650806,no
Male,0,30,yes,Fiber optic,One year,yes,Bank transfer,34.45,987.69,no
Female,0,11,yes,Fiber optic,Month-to-month,yes,Bank transfer,106.61,1179.84,yes
Female,0,59,yes,Fiber optic,Month-to-month,yes,Bank transfer,58.51,3555.54,no
Female,0,32,yes,Fiber optic,One year,no,Electronic check,96.5,3193.46,no
Male,0,35,yes,DSL,Month-to-month,yes,Mailed check,107.14,3782.72,yes
Female,1,36,yes,No,Two year,yes,Electronic check,105.12,3937.28,no
Male,0,61,yes,Fiber optic,Month-to-month,yes,Credit card,92.39,5654.23,yes
Male,0,65,yes,Fiber optic,One year,no,Electronic check,63.27,2338.650806,no
Female,0,8,yes,Fiber optic,Month-to-month,yes,Electronic check,102.34,2338.650806,yes
Male,0,31,yes,DSL,Month-to-month,yes,Electronic check,22.03,698.3,no
Female,1,39,yes,DSL,Month-to-month,yes,Bank transfer,60.79,2285.26,no
Male,0,27,yes,DSL,Two year,no,Mailed check,62.85,1719.47,no
Male,0,56,yes,No,Month-to-month,yes,Credit card,64.75,3807.12,no
Male,0,9,yes,Fiber optic,One year,yes,Credit card,83.48,756.04,yes
Male,0,51,no,DSL,One year,yes,Mailed check,96.17,2338.650806,no
Male,0,26,no,DSL,Month-to-month,yes,Credit card,91.93,2341.44,yes
Male,0,15,yes,Fiber optic,Month-to-month,no,Mailed check,69.18,1008.36,yes
Female,0,13,yes,Fiber optic,Month-to-month,yes,Credit card,71.99,960.6,yes
Male,1,46,yes,No,One year,no,Mailed check,42.43,1911.06,no
Female,1,59,no,DSL,Month-to-month,yes,Mailed check,60.32,3562.46,no
Male,0,52,no,Fiber optic,2 year,yes,Electronic check,40.14,2020.74,no
Male,0,47,yes,DSL,Month-to-month,no,Electronic check,101.88,4836.89,no
Male,0,67,yes,Fiber optic,Month-to-month,yes,Electronic check,54.69,3691.66,yes
Female,0,37,yes,DSL,Month-to-month,yes,Bank transfer,45.61,1725.05,no
Female,0,57,yes,Fiber optic,Month-to-month,no,Mailed check,34.28,2338.650806,yes
Female,0,55,yes,Fiber optic,Two year,no,Credit card,93.53,4995.17,no
Female,0,22,yes,Fiber optic,One year,no,Mailed check,57.81,1269.7,no
Female,1,44,yes,DSL,Two year,yes,Bank transfer,21.76,936.09,no
Female,0,56,yes,fibre optic,Month-to-month,no,Electronic check,103.45,5986.1,yes
Female,0,16,yes,DSL,Month-to-month,yes,Electronic check,39.22,628,no
Female,0,17,yes,No,One year,yes,Bank transfer,106.06,1725.58,no
Male,0,38,yes,Fiber optic,Month-to-month,no,Electronic check,28.4,1087.15,no
Female,0,13,no,DSL,Month-to-month,yes,Mailed check,109.74,1362.8,no
Female,0,10,yes,Fiber optic,One year,no,Mailed check,22.29,220.51,no
Male,0,19,yes,No,Two year,no,Electronic check,94.94,1829.79,no
Male,0,47,no,Fiber optic,month to month,no,Bank transfer,106.76,5185.97,yes
Male,0,45,yes,No,Month-to-month,no,Bank transfer,29.71,1366.25,yes
Male,0,15,yes,Fiber optic,Month-to-month,yes,Mailed check,91.41,1359.96,no
Male,0,9,yes,Fiber optic,Month-to-month,yes,Electronic check,105.9,923.4,yes
Female,0,11,yes,DSL,Month-to-month,no,Bank transfer,34.72,379.31,yes
Female,0,19,yes,No,Month-to-month,no,Bank transfer,87.26,1639.01,no
Male,0,44,yes,Fiber optic,One year,no,Electronic check,76.11,3294.19,yes
Male,0,54,yes,Fiber optic,Month-to-month,yes,Credit card,37.72,2004.6,yes
Male,1,31,yes,No,Month-to-month,yes,Bank transfer,70.67,2222,yes
Male,0,66,yes,DSL,One year,no,Electronic check,103.06,6503.79,no
Male,0,20,yes,DSL,Month-to-month,no,Credit card,81.95,1644.18,no
Male,0,37,yes,No,Two year,yes,Mailed check,62.55,2338.39,no
Female,0,46,yes,DSL,monthly,yes,Mailed check,32.07,1539.34,no
Male,0,58,yes,DSL,Month-to-month,no,Mailed check,109.84,6489.59,yes
Male,0,32,yes,DSL,2 year,yes,Bank transfer,43.13,1419.67,no
Female,0,24,no,No,monthly,yes,Electronic check,78.37,1864.45,yes
Female,0,47,yes,DSL,Month-to-month,yes,Electronic check,78.72,3883.79,no
Male,0,42,yes,No,Month-to-month,no,Electronic check,61.36,2519.05,no
Female,0,58,yes,DSL,Month-to-month,yes,Mailed check,41.43,2349.14,no
Male,0,26,yes,Fiber optic,Month-to-month,no,Bank transfer,48.14,1231.27,no
Female,0,39,yes,DSL,month to month,yes,Mailed check,90.63,3631.23,no
Male,0,30,yes,DSL,One year,no,Electronic check,25.35,725.63,no
Male,0,21,no,Fiber optic,One year,yes,Bank transfer,102.51,2082.07,no
Female,0,59,yes,No,One year,no,Credit card,20.48,1197.99,no
Male,1,57,yes,DSL,Month-to-month,no,Electronic check,101.33,6009.5,no
Female,0,49,yes,Fiber optic,Month-to-month,no,Mailed check,59.85,3019.9,no
Male,0,53,yes,No,One year,no,Bank transfer,23.26,1175.01,no
Male,0,18,yes,No,Month-to-month,no,Bank transfer,29.53,505.72,yes
Female,0,19,yes,fiberoptic,Month-to-month,no,Bank transfer,22.6,449.19,yes
Female,0,41,yes,Fiber optic,Month-to-month,no,Mailed check,37.27,1539.7,no
Female,1,59,yes,No,Month-to-month,yes,Electronic check,46.23,2772.52,yes
Male,0,56,yes,DSL,Two year,no,Bank transfer,48.49,2338.650806,no
Male,0,45,yes,Fiber optic,One year,no,Mailed check,95.77,4251.21,yes
Male,0,34,yes,DSL,Month-to-month,yes,Mailed check,75.97,2546.17,no
Female,0,68,yes,Fiber optic,One year,no,Credit card,25.64,1694.64,no
Female,0,6,yes,DSL,Month-to-month,yes,Mailed check,60.25,359.9,yes
Male,0,8,yes,fibre optic,1 year,yes,Mailed check,90.31,690.91,no
Female,0,47,yes,Fiber optic,Month-to-month,no,Mailed check,70.49,2338.650806,yes
Female,0,19,yes,DSL,Month-to-month,yes,Mailed check,23.65,2338.650806,yes
Male,0,8,yes,Fiber optic,Month-to-month,yes,Credit card,27.78,225.3,yes
Female,0,39,yes,DSL,One year,yes,Credit card,101.3,3993.88,yes
Male,1,40,yes,Fiber optic,Month-to-month,no,Bank transfer,21.7,858.8,no
Male,0,12,yes,Fiber optic,One year,yes,Bank transfer,62.08,2338.650806,no
